#,Business,Show?,QA state,Priority,Phone,Best email,Other emails,Contact / role,Channel,Our concept,Their site,Their score,Vertical,Area,Address,Batch,Last verified,Fix reason,Duplicate of,Note
168,Riley Rodzianko & Clymer LLP,NO,Never design-reviewed,REVIEW,(215) 536-8000,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/riley-rodzianko-and-clymer-llp/,http://www.rrccpa.com/,32,accountant,Bucks County,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
169,Scott Lot,NO,Never design-reviewed,REVIEW,(610) 439-0700,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/scott-lot/,,,,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
170,Sesame Inn,NO,Never design-reviewed,REVIEW,(412) 341-2555,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/sesame-inn/,,,,,,Current Next 20,2026-08-13,design-review-pending,,Confirm on screenshare
171,C&C Super Seal,NO,Never design-reviewed,REVIEW,(267) 223-9906,,,,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/c-and-c-super-seal/,https://www.candcsuperseal.com/,33,paver,Bucks County,,Radar Impeccable Five,2026-08-13,design-review-pending,,Confirm on screenshare
172,Anthony Gueriera Jr. Insurance Agency LLC,NO,Renders black without ?forcegl,REVIEW,(610) 368-4537,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/anthony-gueriera-insurance/?forcegl,http://broomallinsuranceagency.com/,0,Business,Delaware County,"83 First Ave, Broomall, PA",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
173,Bàn Bàn Asian Bistro,NO,Renders black without ?forcegl,REVIEW,(215) 277-5653,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ban-ban-asian-bistro/?forcegl,http://banbanasianbistro.net/,0,Business,Montgomery County,"1533 Old York Rd, Abington, PA",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
174,"Big Head Transport, LLC",NO,Renders black without ?forcegl,REVIEW,(215) 494-8007,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/big-head-transport/?forcegl,http://bigheadtransportllc.com/,0,Business,Philadelphia,"2219 Shields St, Philadelphia, PA",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
175,Elite Philly Auto Parts,NO,Renders black without ?forcegl,REVIEW,(215) 724-4065,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/elite-auto-parts/?forcegl,http://cecarparts.com/,0,Business,Philadelphia,"6796 Essington Ave, Philadelphia, PA 19153",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
176,Germantown Dental Group,NO,Renders black without ?forcegl,REVIEW,(215) 226-2171,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/germantown-dental-group/?forcegl,http://germantowndental.us/,0,Business,Philadelphia,"3609 Germantown Ave, Philadelphia, PA 19140",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
177,Golden Eagle Jewelers,NO,Renders black without ?forcegl,REVIEW,(215) 225-1830,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/golden-eagle-jewelry/?forcegl,https://goldeneaglejewelry-philadelphia.com/,0,Business,Philadelphia,"Philadelphia, PA",Cinematic builds 166-168,2026-08-13,webgl-fallback,,Keep ?forcegl
178,Kehan's Auto Service,NO,Renders black without ?forcegl,REVIEW,(215) 624-3935,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/kehans-auto-service/?forcegl,http://kehansautoservice.com/,0,car-repair,Philadelphia,"9337 Torresdale Ave, Philadelphia, PA 19114",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
179,Lee's Hoagie House of Horsham,NO,Renders black without ?forcegl,REVIEW,(215) 674-8000,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/lees-hoagie-house/?forcegl,http://www.leeshoagieshorsham.com/,0,restaurant,Montgomery County,"870 Easton Rd, Horsham, PA 19044",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
180,Morton Electric Pool & Spa,NO,Renders black without ?forcegl,REVIEW,(888) 355-9223,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/morton-electric-pool-spa/?forcegl,http://mortonelectric.net/,0,plumber,Bucks County,,Cinematic builds 166-168,2026-08-13,webgl-fallback,,Keep ?forcegl
181,Udis & Conn Orthodontics,NO,Renders black without ?forcegl,REVIEW,(215) 576-5805,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/udis-conn-orthodontics/?forcegl,http://www.udisandconnorthodontics.com/,0,dentist,Montgomery County,"403 Washington Ln, Jenkintown, PA 19046",Cinematic builds 169-178,2026-08-13,webgl-fallback,,Keep ?forcegl
182,Art City Vets & Urgent Care,NO,Renders black without ?forcegl,REVIEW,(215) 563-8387,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/art-city-vets/?forcegl,https://www.artcityvets.com/,57,Business,Philadelphia,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
183,Baldwin's Book Barn,NO,Renders black without ?forcegl,REVIEW,(610) 696-0816,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/baldwins-book-barn/?forcegl,https://bookbarn.com/contact-us/,,Business,,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
184,Dentistry for Life,NO,Renders black without ?forcegl,REVIEW,(267) 656-6763,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dentistry-for-life/?forcegl,https://dentistryforlife.net/,62,Business,Philadelphia,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
185,Frazer Antiques,NO,Renders black without ?forcegl,REVIEW,(610) 651-8299,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/frazer-antiques/?forcegl,https://www.frazer-antiques.com/,,Business,,"Frazer, PA",Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
186,Main Line Veterinary Hospital,NO,Renders black without ?forcegl,REVIEW,(610) 695-0860,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/main-line-veterinary-hospital/?forcegl,,,,,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
187,Pizza Peddler,NO,Renders black without ?forcegl,REVIEW,(610) 399-8311,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/pizza-peddler/?forcegl,,,,,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
188,UrgentVet Pottstown,NO,Renders black without ?forcegl,REVIEW,(484) 763-4500,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/urgentvet-pottstown/?forcegl,https://urgentvet.com/location/pottstown-pa/,61,veterinary,Montgomery County,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
189,Welcome Dental,NO,Renders black without ?forcegl,REVIEW,(610) 692-7868,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/welcome-dental/?forcegl,,,,,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
190,Whitelands Animal Hospital,NO,Renders black without ?forcegl,REVIEW,(610) 644-6996,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/whitelands-animal-hospital/?forcegl,,,,,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
191,Wholly Grounds Coffeehouse,NO,Renders black without ?forcegl,REVIEW,(610) 806-0573,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/wholly-grounds/?forcegl,,,,,,Telegram 3D Next 10,2026-08-13,webgl-fallback,,Keep ?forcegl
192,Agnes Edmunds Bridal & Formals,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 323-6712,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/agnes-edmunds-bridal-formals/,https://agnesedmunds.com/,35,Business,Montgomery County,"Pottstown, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
193,Al Tacos Locos,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 883-6446,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/al-tacos-locos/,https://altacoslocos.com/,35,Business,Montgomery County,"408 York Rd, Jenkintown, PA",radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
194,Apollo Wealth Advisors,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 996-9920,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/lpl-financial/,http://www.tartaruscapitalmanagement.com/contact,34,financial,Montgomery County,"110 Jenkins Ave, Colmar, PA 18915",radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
195,APR Supply Company,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(484) 318-8104,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/apr-supply-company/,https://www.aprsupply.com/Malvern,35,Business,Chester County,"81 Lancaster Ave, Malvern, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
196,Borsello Landscaping,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(302) 472-2600,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/borsello-landscaping/,https://www.borsellolandscaping.com/landscape-services-avondale-pa/,35,Business,Chester County,,radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
197,Boyle Energy,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 878-1111,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/boyle-energy-heating-air-conditioning-oil-propane/,https://boylebrothersenergy.com/,49,Business,Delaware County,,radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
198,Brandywine Auto Parts,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(302) 429-0643,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/brandywine-auto-parts/,http://www.brandywine-ap.com/,37,Business,Delaware County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
199,Captain Car Wash,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 539-9390,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/captain-car-wash/,https://captaincarwashpa.com/,33,Business,Montgomery County,,radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
200,City Electric Supply West Chester,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 696-1962,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/city-electric-supply/,https://www.cityelectricsupply.com/branch/409,35,Business,Chester County,"840 Lincoln Ave, West Chester, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
201,Custom IT Solutions,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 860-7270,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/custom-it-solutions/,https://customitsolutions.com/,33,Business,Montgomery County,,radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
202,Ember & Ale,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(484) 902-8053,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ember-ale/,https://emberandale.com/,35,Business,Montgomery County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
203,EPAM Philadelphia,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(267) 759-9000,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/epam/,https://www.epam.com/,35,Business,Philadelphia,"Philadelphia, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
204,Euphoria Nail Bar,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 483-4341,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/euphoria-nail-bar/,https://euphorianailbar.com/,33,Business,Philadelphia,,radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
205,Ferrari Philadelphia,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 527-1100,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ferrari-philadelphia/,https://ferrariphiladelphia.com/,34,Business,Delaware County,,radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
206,"Field 1 Post, LLC",NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 789-2882,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/field-1-post-llc/,https://www.field1post.com/,25,Business,Delaware County,,radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
207,Francis Kaufman House,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 234-2499,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/francis-kaufman-house/,http://franciskaufmanhouse.com/,27,Business,Montgomery County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
208,Heart & Soul Tattoo,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 679-3775,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/heart-soul-tattoo/,https://heartandsoultattoos.com/,33,Business,Montgomery County,"205 Main St, East Greenville, PA 18041",radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
209,Highline Motors Aston,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 753-4536,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/highline-motors/,https://www.highlineaston.com/,22,Business,Delaware County,"Aston, PA",radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
210,Holiday Hair Quakertown,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 536-9902,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/holiday-hair/,https://www.holidayhair.com/locations/nearme/haircut/PA/QUAKERTOWN/1465-21-W-BROAD-ST/19300,37,Business,Bucks County,"1465 W Broad St, Quakertown, PA",radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
211,IVC Wealth Advisors,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 392-6631,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ivc-wealth-advisors/,https://www.ivcwealth.com/,35,Business,Bucks County,,radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
212,"J-Pro Pools, Inc.",NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 277-7665,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/j-pro-inc/,https://www.j-propools.com/,35,Business,Montgomery County,"57 E 4th St, Bridgeport, PA 19405",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
213,Johnny Destructo's Hero Complex,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 482-7700,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/hero-complex/,https://www.jdsherocomplex.com/,30,Business,Philadelphia,,radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
214,Johnny's Pizza,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 287-4771,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/johnny-s-pizza/,http://johnnysitaliano.com/,36,Business,Montgomery County,,radar-next15-20260809-230919,2026-08-13,placeholder-concept,113,Unfinished hero - do not show
215,Just Tires Media,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 892-9214,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/just-tires/,https://www.justtires.com/en_US/location/Media-PA-19063-US-000901223,32,car-repair,Delaware County,"Media, PA",radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
216,Kinetic Physical Therapy,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 424-1100,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/kinetic-physical-therapy/,https://www.kineticptpa.com/kinetic-physical-therapy-collegeville,25,physiotherapist,Montgomery County,,radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
217,Manatawny Still Works,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(484) 624-8271,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/manatawny-still-works/,https://www.manatawnystillworks.com/,32,distillery,Montgomery County,"320 Circle of Progress Dr, Stowe, PA",radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
218,Ming's Chinese Restaurant,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 674-8804,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ming-s-chinese/,https://mings-restaurant.com/,35,restaurant,Montgomery County,"Hatboro, PA",radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
219,Narberth Pizza and Steaks,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 668-2230,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/narberth-pizza/,https://www.narberthpizza.com/,34,restaurant,Montgomery County,"Narberth, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
220,NovaCare Rehabilitation Conshohocken,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 832-5335,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/novacare/,https://www.novacare.com/contact/find-a-location/pa/conshohocken/conshohocken/?ty=xt,35,clinic,Montgomery County,"Conshohocken, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
221,"O'Donnell, Weiss & Mattei, P.C.",NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 323-2800,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/o-donnell-weiss-mattei-p-c/,https://www.owmlaw.com/,34,lawyer,Montgomery County,"1503 Sunset Dr, Suite 201, Pottstown, PA 19464",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
222,Ooka Hibachi and Sushi,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 659-7688,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/ooka-hibachi-and-sushi/,http://ookasushi.com/phone/willow-grove.html,40,restaurant,Montgomery County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
223,Orthodontic Associates of Collegeville,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 409-9880,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/dr-weiss-s-office/,https://www.orthodontists.com/,49,Business,Montgomery County,"555 Second Ave, Suite E-202, Collegeville, PA 19426",radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
224,Philadelphia Auto Accident Injury Attorney,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(786) 471-7844,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/philadelphia-auto-accident-injury-attorney/,https://carcrashinjuryfirm.com/philadelphia-auto-accident-injury-attorney/,33,lawyer,Philadelphia,"Philadelphia, PA",radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
225,Rally House Collegeville,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(484) 460-1445,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/rally-house-collegeville/,https://www.rallyhouse.com/rally-house-collegeville,35,sports,Montgomery County,"60 Town Center Dr, Suite 2, Collegeville, PA 19426",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
226,Red Hill Greenhouses & Florist,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(215) 679-7847,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/red-hill-greenhouses-florist/,https://www.redhillgreenhouse.com/,35,florist,Montgomery County,"Red Hill, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
227,Rocco's Brick Oven Pizzeria,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 831-0100,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/rocco-s-brick-oven-pizzeria/,https://www.roccosbrickoven.net/,44,restaurant,Montgomery County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
228,Seiler & Drury,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 272-4148,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/seiler-drury/,https://sdarc.com/,35,architect,Montgomery County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
229,Snyder Online Marketing,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(267) 688-6493,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/snyder-online-marketing/,https://www.snyderonlinemarketing.com/,32,advertising-agency,Philadelphia,"107 N Broad St, Doylestown, PA 18901",radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
230,The Edge Fitness Clubs Media,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(484) 443-4154,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/the-edge-fitness-clubs/,https://www.theedgefitnessclubs.com/locations/pennsylvania-media,35,fitness-centre,Delaware County,"Media, PA",radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
231,The Restaurant Store Plymouth Meeting,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 272-1653,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/the-restaurant-store/,https://www.therestaurantstore.com/stores/Plymouth-Meeting,35,kitchen,Montgomery County,"2811 DeKalb Pike, Norristown, PA 19401",radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
232,Theory Outlet at Philadelphia Premium Outlets,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 326-5040,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/theory/,https://www.theory.com/storedetail/?StoreID=280075,23,clothes,Montgomery County,"18 W Lightcap Rd, Pottstown, PA 19464",radar-next15-20260809-170919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
233,THR Insurance Agency,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 426-0007,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/thr-insurance-agency/,http://www.thrinsurance.com/,43,insurance,Montgomery County,,radar-next15-20260809-230919,2026-08-13,placeholder-concept,124,Unfinished hero - do not show
234,TM Prestige Home Cash Buyer,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(267) 332-4669,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/tm-prestige-home-cash-buyer/,https://tmprestige.com/,33,estate-agent,Philadelphia,,radar-next15-20260809-230919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
235,Towne Book Center & Wine Bar,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 454-0640,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/towne-book-center-wine-bar/,https://www.townebc.com/,36,books,Montgomery County,,radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
236,Trend Auto Trader,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(267) 227-1863,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/trend-auto-trader/,https://www.trendautotrader.com/,32,car-repair,Bucks County,"Quakertown, PA",radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
237,UNO Pizzeria & Grill Oaks,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 539-8300,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/uno-chicago-style-pizza/,https://restaurants.unos.com/locations/Oaks/PA/3511,45,restaurant,Montgomery County,"Oaks, PA",radar-next15-20260810-110919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
238,Zuber Realty,NO,Placeholder concept — unfinished hero,DO NOT SHOW,(610) 369-0303,,,Phone / official contact route,Phone / contact form only,https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/zuber-realty/,https://www.zuberrealty.com/agents-offices/red-hill-office,34,estate-agent,Montgomery County,,radar-next15-20260810-050919,2026-08-13,placeholder-concept,,Unfinished hero - do not show
